,name,location,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Diesel,Manual,Second,16.09,1598.0,103.5,5,6.98
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Diesel,Manual,Second,14.0,1061.0,64.0,5,1.85
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5,8.63
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Diesel,Manual,First,18.15,1198.0,82.0,5,4.85
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5,28.0
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5,5.0
40,Maruti Alto LXi,Delhi,2008,90000,Diesel,Manual,Second,19.7,796.0,46.3,5,1.25
41,Tata Nano LX SE,Kochi,2014,19698,Diesel,Manual,First,25.4,624.0,37.5,4,1.53
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6,5.58
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Diesel,Manual,First,18.5,1197.0,82.9,5,4.74
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Diesel,Automatic,First,14.62,1999.0,149.92,5,8.85
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Diesel,Automatic,First,14.28,1798.0,138.03,5,10.11
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5,4.25
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Diesel,Manual,First,11.25,2694.0,163.7,7,10.95
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5,3.85
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6,5.5
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5,21.43
51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5,4.25
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5,3.3
53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5,3.85
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Diesel,Manual,Third,18.9,1197.0,82.0,5,3.6
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Diesel,Manual,First,15.04,1598.0,103.2,5,3.99
56,Renault KWID RXT,Kochi,2017,16542,Diesel,Manual,First,25.17,799.0,53.3,5,3.3
57,Hyundai i10 Asta,Kolkata,2010,32000,Diesel,Manual,First,20.36,1197.0,78.9,5,2.07
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5,7.75
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Diesel,Manual,First,18.2,998.0,67.1,5,2.25
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8,16.5
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5,2.75
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Diesel,Automatic,First,11.74,1796.0,186.0,5,26.7
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5,10.0
64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5,2.5
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5,13.5
66,Honda City ZX CVT,Mumbai,2007,63000,Diesel,Automatic,Second,16.4,1497.0,78.0,5,1.85
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5,35.67
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7,8.15
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5,10.5
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Diesel,Automatic,First,8.5,4806.0,500.0,5,14.5
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7,9.65
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Diesel,Automatic,First,16.95,1197.0,78.9,5,3.48
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5,6.92
74,Honda Brio VX AT,Coimbatore,2016,37300,Diesel,Automatic,Second,16.5,1198.0,86.8,5,6.46
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5,29.5
76,Toyota Innova 2.0 G1,Chennai,2006,230000,Diesel,Manual,Third,12.4,1998.0,132.0,8,4.5
77,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7,11.75
78,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5,3.75
79,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Diesel,Manual,First,17.57,1193.0,88.7,5,4.5
80,Honda Amaze SX i-VTEC,Kochi,2016,54944,Diesel,Manual,First,18.0,1198.0,86.7,5,4.82
81,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5,2.8
82,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5,3.11
83,Honda City i VTEC E,Delhi,2009,52000,Diesel,Manual,First,17.8,1497.0,117.3,5,3.25
84,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5,13.9
85,Hyundai i10 Sportz 1.2,Pune,2009,95980,Diesel,Manual,First,20.36,1197.0,78.9,5,2.25
86,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Diesel,Manual,First,18.9,1197.0,82.0,5,5.75
87,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Diesel,Manual,First,17.8,1198.0,86.7,5,5.0
88,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7,16.5
89,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5,39.58
90,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5,5.5
91,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7,8.1
92,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5,3.5
93,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5,2.79
94,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5,3.45
95,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Diesel,Manual,First,18.9,998.0,67.1,5,4.45
96,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Diesel,Manual,First,15.26,1598.0,103.5,5,2.65
97,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5,3.8
98,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Diesel,Manual,First,18.5,1197.0,82.85,5,4.65
99,Datsun GO Plus T Petrol,Pune,2017,32851,Diesel,Manual,First,19.83,1198.0,67.0,7,3.95
100,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5,9.8
101,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Diesel,Manual,Second,17.0,1197.0,80.0,5,2.7
102,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Diesel,Manual,First,14.0,796.0,35.0,5,2.41
103,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Diesel,Manual,First,17.71,1197.0,78.9,5,3.9
104,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5,24.0
105,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7,5.75
106,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5,5.25
107,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7,19.25
108,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Diesel,Manual,First,15.1,1196.0,73.0,5,3.91
109,Tata Nano Twist XT,Bangalore,2014,25500,Diesel,Manual,First,25.4,624.0,37.5,4,2.15
110,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5,20.75
111,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Diesel,Manual,First,13.5,1799.0,130.0,5,3.35
112,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7,11.11
113,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5,20.0
114,Nissan Micra XV CVT,Coimbatore,2016,39882,Diesel,Automatic,First,19.15,1198.0,75.94,5,6.55
115,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Diesel,Automatic,First,10.8,2497.0,215.0,5,7.0
116,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5,7.5
117,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5,16.75
118,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5,10.95
119,Maruti Wagon R LXI BS IV,Pune,2011,43874,Diesel,Manual,First,18.9,998.0,67.1,5,2.45
120,Tata Nano XTA,Coimbatore,2017,32684,Diesel,Automatic,First,21.9,624.0,37.48,4,3.23
121,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8,7.75
122,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Diesel,Automatic,First,11.7,1796.0,178.0,5,9.35
123,Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5,3.25
124,Honda CR-V 2.4 MT,Bangalore,2007,47700,Diesel,Manual,Second,10.8,2354.0,152.0,5,5.25
125,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5,7.25
126,Maruti Ciaz VXi Plus,Kochi,2017,44285,Diesel,Manual,First,20.73,1373.0,91.1,5,7.47
127,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7,13.25
128,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Diesel,Manual,First,21.1,1197.0,85.8,5,5.81
129,Maruti Alto K10 VXI,Hyderabad,2014,88500,Diesel,Manual,First,24.07,998.0,67.1,5,2.6
130,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Diesel,Automatic,First,19.0,2996.0,362.07,2,54.0
131,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Diesel,Automatic,First,17.0,1591.0,121.3,5,11.5
132,Maruti Alto LXi BSIII,Chennai,2010,94385,Diesel,Manual,Second,19.7,796.0,46.3,5,1.6
133,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5,17.22
134,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Diesel,Automatic,First,19.0,1199.0,88.7,5,6.0
135,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Diesel,Manual,First,13.5,1799.0,130.0,5,3.95
136,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5,17.95
137,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5,3.7
138,Maruti Swift VVT VXI,Kochi,2016,34204,Diesel,Manual,First,22.0,1197.0,81.8,5,5.43
139,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7,13.49
140,Chevrolet Beat LT Option,Pune,2014,38800,Diesel,Manual,First,18.6,1199.0,76.8,5,2.85
141,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5,4.75
142,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Diesel,Manual,First,20.73,1373.0,91.1,5,9.9
143,Audi RS5 Coupe,Mumbai,2013,23000,Diesel,Automatic,First,11.05,2894.0,444.0,4,37.0
144,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5,26.5
145,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5,23.32
146,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5,6.25
147,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Diesel,Automatic,First,7.81,5461.0,362.9,5,30.0
148,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5,9.86
149,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5,8.5
150,Hyundai EON Magna Plus,Kochi,2019,14322,Diesel,Manual,First,21.1,814.0,55.2,5,4.23
151,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5,3.5
152,Datsun GO NXT,Kolkata,2016,6000,Diesel,Manual,First,20.63,1198.0,67.06,5,2.5
153,Honda Brio S MT,Kolkata,2013,33280,Diesel,Manual,First,19.4,1198.0,86.8,5,2.39
154,Mercedes-Benz B Class B180,Delhi,2013,29000,Diesel,Automatic,First,14.8,1595.0,120.7,5,11.25
155,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5,7.11
156,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7,10.9
157,Maruti Swift VXI Optional,Ahmedabad,2017,24005,Diesel,Manual,First,20.4,1197.0,81.8,5,6.2
158,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7,7.9
159,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5,4.42
160,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7,13.5
161,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5,6.25
162,Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5,2.1
163,BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5,45.0
164,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5,33.66
165,Honda Brio V MT,Bangalore,2012,45000,Diesel,Manual,Second,19.4,1198.0,86.8,5,3.65
166,Hyundai i10 Magna 1.2,Delhi,2013,60000,Diesel,Manual,First,20.36,1197.0,78.9,5,2.75
167,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5,42.5
168,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Diesel,Manual,First,18.9,1197.0,81.86,5,6.5
169,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5,19.0
170,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Diesel,Automatic,Second,14.4,1598.0,103.6,5,4.45
171,Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5,23.0
172,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5,8.35
173,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5,22.95
174,Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5,1.5
175,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Diesel,Automatic,First,13.7,1798.0,157.75,5,6.89
176,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5,1.45
177,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5,33.5
178,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Diesel,Manual,First,12.9,1598.0,102.5,5,1.25
179,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5,4.2
180,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8,6.75
181,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5,32.0
182,Maruti Baleno Alpha,Kochi,2017,24773,Diesel,Manual,First,21.4,1197.0,83.1,5,7.5
183,Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5,4.6
184,Hyundai i10 Magna 1.1,Kochi,2017,52340,Diesel,Manual,First,19.81,1086.0,68.05,5,4.04
185,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7,10.31
186,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5,55.76
187,Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5,2.6
188,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7,8.5
189,Honda Amaze S i-Dtech,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5,3.5
190,Hyundai i10 Magna,Jaipur,2015,43571,Diesel,Manual,First,20.36,1197.0,78.9,5,3.55
191,Honda Amaze S i-Dtech,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5,3.25
192,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5,4.5
193,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5,5.35
194,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7,6.5
195,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5,9.0
196,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,Diesel,Manual,First,18.6,1197.0,81.83,5,6.0
197,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,Diesel,Manual,First,14.7,1390.0,85.0,5,2.75
198,Tata Indigo eCS GLX,Pune,2010,70500,Diesel,Manual,First,15.64,1193.0,64.1,5,1.5
199,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5,19.9
200,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,Diesel,Automatic,First,14.7,1798.0,177.5,5,10.0
201,Toyota Etios Liva GD SP,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5,3.0
202,Mercedes-Benz B Class B180,Kochi,2014,37245,Diesel,Automatic,First,14.8,1595.0,120.7,5,11.96
203,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5,3.25
204,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5,4.75
205,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5,5.95
206,Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Diesel,Manual,Second,15.29,1591.0,121.3,5,8.15
207,Maruti Wagon R AMT VXI,Mumbai,2016,8500,Diesel,Automatic,First,20.51,998.0,67.0,5,4.22
208,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,Diesel,Automatic,First,11.74,1796.0,186.0,5,10.5
209,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5,45.0
210,Hyundai i10 Magna 1.1,Pune,2012,44000,Diesel,Manual,Second,19.81,1086.0,68.05,5,2.9
211,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,Diesel,Automatic,First,14.3,1598.0,103.52,5,8.9
212,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Diesel,Automatic,First,14.67,1798.0,177.46,5,26.0
213,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,Diesel,Manual,First,17.19,1197.0,81.86,5,8.22
214,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5,3.5
215,Maruti Wagon R LXI,Chennai,2004,61000,Diesel,Manual,Second,18.9,998.0,67.1,5,1.25
216,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5,3.7
217,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5,39.41
218,Maruti Wagon R VXI,Kolkata,2013,32000,Diesel,Manual,First,22.5,998.0,67.04,5,2.65
219,Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5,8.92
220,Mini Cooper Convertible S,Kochi,2017,26327,Diesel,Automatic,First,16.82,1998.0,189.08,4,35.67
221,Tata Indica V2 DLS BSII,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5,0.85
222,Chevrolet Beat LT,Kochi,2016,60813,Diesel,Manual,Second,18.6,1199.0,76.8,5,3.32
