,year,kilometers_driven,owner_type,engine,power,seats,price,location_Bangalore,location_Chennai,location_Coimbatore,location_Delhi,location_Hyderabad,location_Jaipur,location_Kochi,location_Kolkata,location_Mumbai,location_Pune,fuel_type_Diesel,transmission_Manual
73,2015,56066.0,1,1461.0,108.5,5,6.92,0,0,0,0,0,0,1,0,0,0,1,1
74,2016,37300.0,2,1198.0,86.8,5,6.46,0,0,1,0,0,0,0,0,0,0,1,0
75,2014,56000.0,2,1968.0,187.74,5,5.75,0,0,0,1,0,0,0,0,0,0,1,0
76,2006,52609.0,3,1998.0,132.0,8,4.5,0,1,0,0,0,0,0,0,0,0,1,1
77,2012,104000.0,1,2494.0,102.0,7,5.75,0,0,0,0,1,0,0,0,0,0,1,1
78,2012,95100.0,1,1248.0,74.0,5,3.75,0,0,0,0,0,1,0,0,0,0,1,1
79,2017,70000.0,1,1193.0,88.7,5,4.5,0,0,0,0,0,0,0,0,0,1,1,1
80,2016,54944.0,1,1198.0,86.7,5,4.82,0,0,0,0,0,0,1,0,0,0,1,1
81,2012,70337.0,1,1399.0,68.0,5,2.8,0,0,0,0,1,0,0,0,0,0,1,1
82,2013,99638.0,1,1248.0,73.94,5,3.11,0,0,0,0,0,1,0,0,0,0,1,1
83,2009,52000.0,1,1497.0,117.3,5,3.25,0,0,0,1,0,0,0,0,0,0,1,1
84,2011,75000.0,2,1995.0,97.7,5,5.75,0,0,0,1,0,0,0,0,0,0,1,0
85,2009,95980.0,1,1197.0,78.9,5,2.25,0,0,0,0,0,0,0,0,0,1,1,1
86,2016,16000.0,1,1197.0,82.0,5,5.75,1,0,0,0,0,0,0,0,0,0,1,1
87,2016,18949.0,1,1198.0,86.7,5,5.0,0,0,0,0,0,0,0,0,1,0,1,1
88,2014,107000.0,1,2982.0,168.5,7,5.75,0,0,0,1,0,0,0,0,0,0,1,1
89,2018,48367.0,1,1968.0,174.33,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
90,2013,57000.0,1,1498.0,89.84,5,5.5,0,0,0,1,0,0,0,0,0,0,1,1
91,2014,58000.0,1,2179.0,140.0,7,8.1,0,0,0,1,0,0,0,0,0,0,1,1
92,2015,30000.0,1,1498.0,98.6,5,3.5,0,0,0,0,0,0,0,1,0,0,1,1
93,2013,34212.0,1,1199.0,73.9,5,2.79,0,0,0,0,0,0,0,1,0,0,1,1
94,2010,70002.0,1,1493.0,110.0,5,3.45,0,0,0,0,0,0,0,0,0,0,1,1
95,2016,62000.0,1,998.0,67.1,5,4.45,1,0,0,0,0,0,0,0,0,0,1,1
96,2010,62001.0,1,1598.0,103.5,5,2.65,0,0,0,1,0,0,0,0,0,0,1,1
97,2011,78958.0,2,1396.0,90.0,5,3.8,0,0,0,0,0,0,0,0,0,1,1,1
98,2014,30180.0,1,1197.0,82.85,5,4.65,0,0,0,0,0,0,0,0,1,0,1,1
99,2017,32851.0,1,1198.0,67.0,7,3.95,0,0,0,0,0,0,0,0,0,1,1,1
100,2010,30000.0,1,2967.0,97.7,5,5.75,0,0,0,0,0,0,0,1,0,0,1,0
101,2009,66000.0,2,1197.0,80.0,5,2.7,0,0,0,0,0,0,0,0,0,1,1,1
102,2010,93850.0,1,796.0,35.0,5,2.41,0,0,1,0,0,0,0,0,0,0,1,1
103,2014,53000.0,1,1197.0,78.9,5,3.9,0,0,0,0,0,0,0,0,0,0,1,1
104,2011,78000.0,2,2993.0,97.7,5,5.75,0,0,0,0,1,0,0,0,0,0,1,0
105,2012,65000.0,2,2179.0,140.0,7,5.75,0,0,0,1,0,0,0,0,0,0,1,1
106,2014,40000.0,1,1582.0,126.32,5,5.25,0,0,0,0,0,0,0,1,0,0,1,0
107,2017,30000.0,1,2755.0,171.5,7,5.75,0,0,0,0,0,0,0,0,1,0,1,0
108,2017,38053.0,1,1196.0,73.0,5,3.91,0,0,1,0,0,0,0,0,0,0,1,1
109,2014,25500.0,1,624.0,37.5,4,2.15,1,0,0,0,0,0,0,0,0,0,1,1
110,2015,56087.0,1,1995.0,190.0,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
111,2010,71088.0,1,1799.0,130.0,5,3.35,0,0,0,1,0,0,0,0,0,0,1,1
112,2014,55000.0,1,2494.0,100.6,7,5.75,0,0,0,0,0,0,0,0,0,0,1,1
113,2014,32700.0,1,1984.0,150.0,5,5.75,1,0,0,0,0,0,0,0,0,0,1,0
114,2016,39882.0,1,1198.0,75.94,5,6.55,0,0,1,0,0,0,0,0,0,0,1,0
115,2009,52604.5,1,2497.0,97.7,5,7.0,0,0,0,0,0,0,0,0,1,0,1,0
116,2016,55000.0,1,1248.0,88.5,5,7.5,0,0,0,0,0,0,0,0,1,0,1,1
117,2014,53753.0,2,2143.0,107.3,5,5.75,0,0,0,0,0,0,0,0,0,1,1,0
118,2018,10250.0,1,1582.0,126.2,5,5.75,0,0,0,0,0,0,0,1,0,0,1,1
119,2011,43874.0,1,998.0,67.1,5,2.45,0,0,0,0,0,0,0,0,0,1,1,1
120,2017,32684.0,1,624.0,37.48,4,3.23,0,0,1,0,0,0,0,0,0,0,1,0
121,2014,42000.0,1,2179.0,120.0,8,7.75,0,0,0,0,0,0,0,1,0,0,1,1
122,2009,28352.0,1,1796.0,178.0,5,5.75,0,0,0,0,0,0,0,1,0,0,1,0
123,2013,89900.0,1,998.0,58.16,5,3.25,0,0,0,0,0,0,0,0,0,1,0,1
124,2007,47700.0,2,2354.0,152.0,5,5.25,1,0,0,0,0,0,0,0,0,0,1,1
125,2015,55000.0,1,1498.0,103.2,5,7.25,0,0,0,0,0,0,0,0,0,1,1,0
126,2017,44285.0,1,1373.0,91.1,5,7.47,0,0,0,0,0,0,1,0,0,0,1,1
127,2016,54000.0,1,2179.0,140.0,7,5.75,0,0,0,0,0,1,0,0,0,0,1,0
128,2016,30232.0,1,1197.0,85.8,5,5.81,0,0,1,0,0,0,0,0,0,0,1,1
129,2014,88500.0,1,998.0,67.1,5,2.6,0,0,0,0,1,0,0,0,0,0,1,1
130,2017,13372.0,1,2996.0,97.7,2,5.75,0,0,0,0,0,0,0,1,0,0,1,0
131,2019,12645.0,1,1591.0,121.3,5,5.75,0,0,0,0,0,0,1,0,0,0,1,0
132,2010,94385.0,2,796.0,46.3,5,1.6,0,1,0,0,0,0,0,0,0,0,1,1
133,2015,31821.0,1,1995.0,143.0,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
134,2015,12000.0,1,1199.0,88.7,5,6.0,0,0,0,0,0,0,0,0,1,0,1,0
135,2012,88578.0,1,1799.0,130.0,5,3.95,0,0,0,1,0,0,0,0,0,0,1,1
136,2014,44965.0,1,2143.0,170.0,5,5.75,0,0,0,0,0,0,1,0,0,0,1,0
137,2014,45044.0,1,1498.0,98.6,5,3.7,0,0,0,0,0,0,0,1,0,0,1,1
138,2016,34204.0,1,1197.0,81.8,5,5.43,0,0,0,0,0,0,1,0,0,0,1,1
139,2012,91235.0,1,2982.0,171.0,7,5.75,0,0,1,0,0,0,0,0,0,0,1,1
140,2014,38800.0,1,1199.0,76.8,5,2.85,0,0,0,0,0,0,0,0,0,1,1,1
141,2013,83000.0,1,1498.0,103.52,5,4.75,0,1,0,0,0,0,0,0,0,0,1,1
142,2018,41283.0,1,1373.0,91.1,5,5.75,0,0,0,0,0,0,1,0,0,0,1,1
143,2013,23000.0,1,2894.0,97.7,4,5.75,0,0,0,0,0,0,0,0,1,0,1,0
144,2014,48000.0,1,1995.0,190.0,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
145,2015,48214.0,1,1968.0,174.33,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
146,2016,35000.0,1,1248.0,74.0,5,6.25,0,1,0,0,0,0,0,0,0,0,1,1
147,2010,35277.0,1,1495.5,97.7,5,5.75,0,0,0,0,0,0,0,1,0,0,1,0
148,2016,54620.0,1,1498.0,103.52,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
149,2012,52609.0,1,1968.0,138.1,5,8.5,0,0,0,0,0,0,0,0,0,1,1,0
150,2019,14322.0,1,814.0,55.2,5,4.23,0,0,0,0,0,0,1,0,0,0,1,1
151,2012,65634.0,1,1199.0,73.9,5,3.5,0,0,0,0,0,1,0,0,0,0,1,1
152,2016,6000.0,1,1198.0,67.06,5,2.5,0,0,0,0,0,0,0,1,0,0,1,1
153,2013,33280.0,1,1198.0,86.8,5,2.39,0,0,0,0,0,0,0,1,0,0,1,1
154,2013,29000.0,1,1595.0,120.7,5,5.75,0,0,0,1,0,0,0,0,0,0,1,0
155,2015,42831.0,1,1498.0,98.6,5,7.11,0,0,0,0,0,0,1,0,0,0,1,1
156,2016,90000.0,1,2494.0,100.6,7,5.75,0,0,0,0,0,0,0,0,0,0,1,1
157,2017,24005.0,1,1197.0,81.8,5,6.2,0,0,0,0,0,0,0,0,0,0,1,1
158,2012,32792.0,1,2179.0,140.0,7,7.9,0,0,0,0,0,0,0,0,1,0,1,1
159,2014,52609.0,1,1498.0,89.84,5,4.42,0,0,0,0,0,0,1,0,0,0,1,1
160,2012,52609.0,1,2982.0,168.5,7,5.75,0,0,0,0,0,0,0,0,1,0,1,1
161,2013,65000.0,1,1498.0,108.5,5,6.25,0,1,0,0,0,0,0,0,0,0,1,0
162,2010,66123.0,2,1399.0,68.0,5,2.1,0,0,0,0,0,1,0,0,0,0,1,1
163,2015,41000.0,1,2993.0,97.7,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
164,2017,23550.0,1,2143.0,167.62,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
165,2012,45000.0,2,1198.0,86.8,5,3.65,1,0,0,0,0,0,0,0,0,0,1,1
166,2013,60000.0,1,1197.0,78.9,5,2.75,0,0,0,1,0,0,0,0,0,0,1,1
167,2016,44414.0,1,2143.0,170.0,5,5.75,1,0,0,0,0,0,0,0,0,0,1,0
168,2019,1000.0,1,1197.0,81.86,5,6.5,0,0,0,0,0,0,0,1,0,0,1,1
169,2012,62500.0,2,1968.0,174.33,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
170,2013,21000.0,2,1598.0,103.6,5,4.45,0,0,0,0,0,0,0,0,1,0,1,0
171,2017,8525.0,2,1998.0,112.0,5,5.75,0,0,0,0,0,1,0,0,0,0,1,0
172,2014,29000.0,1,1396.0,88.73,5,8.35,1,0,0,0,0,0,0,0,0,0,1,1
173,2014,40000.0,1,1968.0,174.33,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
174,2012,88000.0,1,936.0,57.6,5,1.5,0,0,0,0,0,1,0,0,0,0,1,1
175,2012,53537.0,1,1798.0,157.75,5,6.89,0,0,0,0,0,0,1,0,0,0,1,0
176,2006,52609.0,2,1399.0,68.0,5,1.45,0,1,0,0,0,0,0,0,0,0,1,1
177,2014,51000.0,1,1995.0,190.0,5,5.75,0,0,0,0,1,0,0,0,0,0,1,0
178,2007,118500.0,1,1598.0,102.5,5,1.25,0,0,0,0,0,1,0,0,0,0,1,1
179,2012,63000.0,1,1199.0,73.9,5,4.2,0,0,0,0,1,0,0,0,0,0,1,1
180,2015,25000.0,1,1461.0,108.5,8,6.75,0,0,0,0,0,0,0,0,1,0,1,1
181,2014,37382.0,1,2143.0,97.7,5,5.75,1,0,0,0,0,0,0,0,0,0,1,0
182,2017,24773.0,1,1197.0,83.1,5,7.5,0,0,0,0,0,0,1,0,0,0,1,1
183,2012,62000.0,1,1582.0,126.32,5,4.6,0,0,0,1,0,0,0,0,0,0,1,1
184,2017,52340.0,1,1086.0,68.05,5,4.04,0,0,0,0,0,0,1,0,0,0,1,1
185,2016,56739.0,1,1997.0,120.0,7,5.75,0,0,0,0,0,0,1,0,0,0,1,1
186,2018,36091.0,1,2179.0,187.7,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
187,2010,52601.125,1,1399.0,68.0,5,2.6,0,1,0,0,0,0,0,0,0,0,1,1
188,2016,33000.0,1,1248.0,88.5,7,8.5,0,0,0,0,0,0,0,0,1,0,1,1
189,2014,52000.0,1,1498.0,98.6,5,3.5,0,0,0,0,0,0,0,1,0,0,1,1
190,2015,43571.0,1,1197.0,78.9,5,3.55,0,0,0,0,0,1,0,0,0,0,1,1
191,2013,50000.0,1,1498.0,98.6,5,3.25,0,0,0,0,0,0,0,1,0,0,1,1
192,2008,113000.0,1,1896.0,106.0,5,4.5,0,0,0,0,1,0,0,0,0,0,1,1
193,2014,90000.0,1,1461.0,83.8,5,5.35,0,0,0,1,0,0,0,0,0,0,1,1
194,2017,29000.0,2,1493.0,100.0,7,6.5,0,1,0,0,0,0,0,0,0,0,1,1
195,2016,20000.0,1,1248.0,88.5,5,9.0,0,0,0,0,0,0,0,0,1,0,1,1
196,2016,61012.0,1,1197.0,81.83,5,6.0,0,0,0,0,0,0,1,0,0,0,1,1
197,2009,87459.0,1,1390.0,85.0,5,2.75,0,0,0,0,0,1,0,0,0,0,1,1
198,2010,70500.0,1,1193.0,64.1,5,1.5,0,0,0,0,0,0,0,0,0,1,1,1
199,2015,64103.0,1,1968.0,174.33,5,5.75,0,0,0,1,0,0,0,0,0,0,1,0
200,2014,76000.0,1,1798.0,177.5,5,5.75,0,0,0,0,0,0,0,0,1,0,1,0
201,2014,104000.0,1,1364.0,67.06,5,3.0,0,0,0,1,0,0,0,0,0,0,1,1
202,2014,37245.0,1,1595.0,120.7,5,5.75,0,0,0,0,0,0,1,0,0,0,1,0
203,2013,45000.0,1,1498.0,98.6,5,3.25,0,0,0,0,0,0,0,1,0,0,1,1
204,2012,117837.0,2,1582.0,126.32,5,4.75,0,0,0,0,0,1,0,0,0,0,1,1
205,2014,30000.0,1,1461.0,83.8,5,5.95,0,0,0,0,0,0,0,0,1,0,1,1
206,2015,27057.0,2,1591.0,121.3,5,8.15,0,0,0,1,0,0,0,0,0,0,1,1
207,2016,8500.0,1,998.0,67.0,5,4.22,0,0,0,0,0,0,0,0,1,0,1,0
208,2010,30500.0,1,1796.0,186.0,5,5.75,0,0,0,0,0,0,0,1,0,0,1,0
209,2012,56000.0,1,2967.0,97.7,5,5.75,0,0,0,1,0,0,0,0,0,0,1,0
210,2012,44000.0,2,1086.0,68.05,5,2.9,0,0,0,0,0,0,0,0,0,1,1,1
211,2017,10500.0,1,1598.0,103.52,5,8.9,0,0,0,0,0,0,0,0,1,0,1,0
212,2017,26000.0,1,1798.0,177.46,5,5.75,0,0,0,0,1,0,0,0,0,0,1,0
213,2018,25166.0,1,1197.0,81.86,5,8.22,0,0,1,0,0,0,0,0,0,0,1,1
214,2014,64000.0,2,1498.0,98.6,5,3.5,0,0,0,0,0,0,0,1,0,0,1,1
215,2014,61000.0,2,998.0,67.1,5,1.25,0,1,0,0,0,0,0,0,0,0,1,1
216,2013,107000.0,1,1461.0,65.0,5,3.7,0,0,0,0,1,0,0,0,0,0,1,1
217,2018,29161.0,1,2143.0,167.62,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
218,2013,32000.0,1,998.0,67.04,5,2.65,0,0,0,0,0,0,0,1,0,0,1,1
219,2015,46173.0,2,1461.0,108.5,5,8.92,0,0,1,0,0,0,0,0,0,0,1,1
220,2017,26327.0,1,1998.0,189.08,4,5.75,0,0,0,0,0,0,1,0,0,0,1,0
221,2007,52609.0,2,1396.0,53.5,5,0.85,0,0,0,0,0,1,0,0,0,0,1,1
222,2016,60813.0,2,1199.0,76.8,5,3.32,0,0,0,0,0,0,1,0,0,0,1,1
223,2012,45000.0,1,1199.0,73.9,5,3.6,0,0,0,0,0,0,0,0,1,0,1,1
224,2016,64000.0,1,1248.0,74.0,5,6.8,0,0,0,0,1,0,0,0,0,0,1,1
225,2012,41284.0,1,1399.0,68.05,5,2.5,0,0,0,0,0,0,0,1,0,0,1,1
226,2019,14165.0,1,2755.0,171.5,7,5.75,0,0,0,0,0,0,1,0,0,0,1,0
227,2011,67000.0,2,2199.0,97.7,7,7.0,0,0,0,0,0,0,0,0,1,0,1,0
228,2011,32572.0,1,1497.0,117.3,5,3.87,0,0,0,0,0,0,0,1,0,0,1,1
229,2018,14960.0,1,1197.0,81.83,5,6.27,0,0,0,0,0,0,1,0,0,0,1,1
230,2015,55980.0,1,2143.0,167.62,5,5.75,0,0,0,0,0,0,1,0,0,0,1,0
231,2013,74000.0,1,936.0,57.6,5,2.65,0,0,0,0,0,0,0,0,1,0,1,1
232,2015,56847.0,1,1396.0,88.73,5,7.2,0,0,0,0,0,0,1,0,0,0,1,1
233,2015,52602.25,1,2494.0,100.6,7,5.75,0,0,1,0,0,0,0,0,0,0,1,1
234,2013,52000.0,1,1248.0,88.76,7,6.9,0,1,0,0,0,0,0,0,0,0,1,1
235,2014,118000.0,1,2494.0,102.0,7,5.75,0,0,0,0,0,0,0,0,1,0,1,1
236,2016,33915.0,1,1497.0,117.3,5,8.09,0,0,0,0,0,0,1,0,0,0,1,1
237,2014,82002.0,1,1995.0,184.0,5,5.75,0,0,0,0,0,0,0,0,0,0,1,0
238,2017,33000.0,1,1120.0,70.0,5,4.75,0,0,0,0,0,0,0,0,1,0,1,1
239,2016,34000.0,1,1248.0,88.5,5,8.45,0,1,0,0,0,0,0,0,0,0,1,1
240,2012,55000.0,1,1598.0,103.6,5,3.5,0,0,0,0,0,0,0,1,0,0,1,1
241,2006,52609.0,1,1493.0,82.0,5,1.8,0,0,0,0,0,0,1,0,0,0,1,1
242,2014,60000.0,2,1498.0,103.6,5,3.7,0,0,0,0,0,1,0,0,0,0,1,1
243,2017,49575.0,1,1199.0,88.7,5,7.17,0,0,1,0,0,0,0,0,0,0,1,1
244,2010,83000.0,1,1086.0,68.05,5,1.75,0,0,0,0,0,1,0,0,0,0,1,1
245,2018,51346.0,1,1995.0,183.0,5,5.75,0,0,0,0,0,0,1,0,0,0,1,0
246,2017,43000.0,1,2393.0,147.8,7,5.75,0,0,0,0,0,0,0,0,0,1,1,1
247,2011,35000.0,3,796.0,35.0,5,1.85,0,0,0,0,0,1,0,0,0,0,1,1
248,2017,27872.0,2,1197.0,81.8,5,5.95,0,0,1,0,0,0,0,0,0,0,1,1
249,2014,16514.0,1,1197.0,82.0,5,3.75,0,0,0,0,0,0,0,0,1,0,1,1
250,2012,52601.125,1,1248.0,74.0,5,3.75,0,0,0,0,0,0,0,0,0,1,1,1
251,2008,52609.0,1,1582.0,126.2,5,2.6,0,0,0,0,1,0,0,0,0,0,1,1
252,2010,52000.0,1,1197.0,80.0,5,2.8,0,0,0,0,0,0,0,0,1,0,1,1
253,2017,29819.0,1,2987.0,97.7,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
254,2014,57000.0,2,2148.0,170.0,5,5.75,1,0,0,0,0,0,0,0,0,0,1,1
255,2014,88500.0,1,1248.0,73.94,5,4.35,0,0,0,0,1,0,0,0,0,0,1,1
256,2016,28000.0,1,1582.0,126.2,5,5.75,1,0,0,0,0,0,0,0,0,0,1,1
257,2010,67000.0,1,998.0,66.1,5,2.0,0,0,0,0,0,0,0,0,0,1,1,1
258,2016,26000.0,1,1461.0,108.45,5,5.75,0,0,0,1,0,0,0,0,0,0,1,1
259,2010,52601.125,1,1248.0,76.0,5,1.65,0,0,0,1,0,0,0,0,0,0,1,1
260,2017,51982.0,1,2993.0,97.7,5,5.75,0,0,1,0,0,0,0,0,0,0,1,0
261,2010,36000.0,2,1197.0,78.9,5,3.25,1,0,0,0,0,0,0,0,0,0,1,1
262,2016,47000.0,1,2494.0,102.0,7,5.75,0,0,0,0,0,0,0,0,0,1,1,1
263,2014,60000.0,3,993.0,60.0,5,0.55,0,0,0,0,0,0,0,0,1,0,1,1
264,2018,31025.0,1,1248.0,74.0,5,7.15,0,0,0,0,1,0,0,0,0,0,1,1
265,2013,105000.0,2,2179.0,120.0,8,7.0,0,0,0,0,0,0,0,0,0,1,1,1
266,2017,52602.25,1,1248.0,74.0,5,3.75,0,0,0,0,0,0,0,0,0,1,1,1
267,2017,22695.0,1,999.0,123.24,5,8.5,0,0,0,0,0,0,0,0,1,0,1,1
268,2012,73000.0,1,1248.0,74.0,5,4.35,0,0,0,0,0,1,0,0,0,0,1,1
269,2016,32227.0,1,796.0,47.3,5,3.26,0,0,0,0,0,0,1,0,0,0,1,1
