,datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,year,month,day
79,2011-01-04 11:00:00,Winter,0,1.0,Clear,9.02,51.0,19.9995,7,50,57,2011,1,Tuesday
81,2011-01-04 13:00:00,Winter,0,1.0,Clear,9.84,56.0,12.998,18,79,97,2011,1,Tuesday
82,2011-01-04 14:00:00,Winter,0,1.0,Clear,10.66,52.0,15.0013,9,54,63,2011,1,Tuesday
83,2011-01-04 15:00:00,Winter,0,1.0,Clear,11.48,52.0,16.9979,17,48,65,2011,1,Tuesday
85,2011-01-04 17:00:00,Winter,0,1.0,Clear,11.48,48.0,15.0013,10,202,212,2011,1,Tuesday
86,2011-01-04 18:00:00,Winter,0,1.0,Clear,10.66,48.0,12.998,3,179,182,2011,1,Tuesday
89,2011-01-04 21:00:00,Winter,0,1.0,Clear,9.02,64.0,0.0,0,48,48,2011,1,Tuesday
91,2011-01-04 23:00:00,Winter,0,1.0,Clear,8.2,69.0,6.0032,2,9,11,2011,1,Tuesday
92,2011-01-05 00:00:00,Winter,0,1.0,Clear,8.2,64.0,0.0,0,6,6,2011,1,Wednesday
97,2011-01-05 06:00:00,Winter,0,1.0,Clear,8.2,47.0,15.0013,0,33,33,2011,1,Wednesday
99,2011-01-05 08:00:00,Winter,0,1.0,Clear,8.2,40.0,19.9995,3,192,195,2011,1,Wednesday
100,2011-01-05 09:00:00,Winter,0,1.0,Clear,9.02,37.0,22.0028,6,109,115,2011,1,Wednesday
101,2011-01-05 10:00:00,Winter,0,1.0,Clear,9.02,37.0,22.0028,4,53,57,2011,1,Wednesday
105,2011-01-05 14:00:00,Winter,0,1.0,Clear,12.3,28.0,12.998,10,52,62,2011,1,Wednesday
107,2011-01-05 16:00:00,Winter,0,1.0,Clear,12.3,28.0,6.0032,4,85,89,2011,1,Wednesday
109,2011-01-05 18:00:00,Winter,0,1.0,Clear,9.84,38.0,8.9981,3,166,169,2011,1,Wednesday
114,2011-01-05 23:00:00,Winter,0,1.0,Clear,8.2,47.0,0.0,1,18,19,2011,1,Wednesday
127,2011-01-06 13:00:00,Winter,0,1.0,Clear,10.66,35.0,7.0015,12,55,67,2011,1,Thursday
133,2011-01-06 19:00:00,Winter,0,1.0,Clear,9.02,55.0,6.0032,3,109,112,2011,1,Thursday
134,2011-01-06 20:00:00,Winter,0,1.0,Clear,8.2,51.0,11.0014,3,66,69,2011,1,Thursday
135,2011-01-06 21:00:00,Winter,0,1.0,Mist,9.02,55.0,15.0013,0,48,48,2011,1,Thursday
139,2011-01-07 01:00:00,Winter,0,1.0,Mist,8.2,69.0,15.0013,2,5,7,2011,1,Friday
140,2011-01-07 02:00:00,Winter,0,1.0,Mist,8.2,69.0,15.0013,0,1,1,2011,1,Friday
146,2011-01-07 09:00:00,Winter,0,1.0,Clear,8.2,47.0,19.9995,9,125,134,2011,1,Friday
150,2011-01-07 13:00:00,Winter,0,1.0,Mist,8.2,37.0,19.0012,9,64,73,2011,1,Friday
151,2011-01-07 14:00:00,Winter,0,1.0,Mist,8.2,40.0,16.9979,7,43,50,2011,1,Friday
152,2011-01-07 15:00:00,Winter,0,1.0,Mist,8.2,37.0,11.0014,9,63,72,2011,1,Friday
153,2011-01-07 16:00:00,Winter,0,1.0,Mist,8.2,37.0,11.0014,5,82,87,2011,1,Friday
156,2011-01-07 19:00:00,Winter,0,1.0,Clear,6.56,55.0,6.0032,3,92,95,2011,1,Friday
157,2011-01-07 20:00:00,Winter,0,1.0,Clear,7.38,47.0,7.0015,1,50,51,2011,1,Friday
162,2011-01-08 01:00:00,Winter,1,0.0,Mist,7.38,55.0,6.0032,1,15,16,2011,1,Saturday
163,2011-01-08 02:00:00,Winter,1,0.0,Mist,7.38,55.0,0.0,3,13,16,2011,1,Saturday
164,2011-01-08 03:00:00,Winter,1,0.0,Rainy,7.38,55.0,11.0014,0,7,7,2011,1,Saturday
165,2011-01-08 04:00:00,Winter,1,0.0,Rainy,7.38,55.0,11.0014,0,1,1,2011,1,Saturday
168,2011-01-08 07:00:00,Winter,1,0.0,Mist,6.56,74.0,7.0015,1,8,9,2011,1,Saturday
169,2011-01-08 08:00:00,Winter,1,0.0,Rainy,6.56,93.0,7.0015,0,15,15,2011,1,Saturday
170,2011-01-08 09:00:00,Winter,1,1.0,Rainy,6.56,93.0,7.0015,0,20,20,2011,1,Saturday
171,2011-01-08 10:00:00,Winter,1,0.0,Mist,7.38,80.0,11.0014,5,56,61,2011,1,Saturday
184,2011-01-08 23:00:00,Winter,1,0.0,Clear,4.1,39.0,30.0026,0,22,22,2011,1,Saturday
186,2011-01-09 01:00:00,Winter,1,0.0,Clear,4.1,42.0,31.0009,0,12,12,2011,1,Sunday
189,2011-01-09 04:00:00,Winter,1,0.0,Clear,3.28,53.0,12.998,0,1,1,2011,1,Sunday
192,2011-01-09 07:00:00,Winter,1,0.0,Clear,3.28,53.0,12.998,1,5,6,2011,1,Sunday
195,2011-01-09 10:00:00,Winter,1,1.0,Clear,5.74,43.0,26.0027,0,49,49,2011,1,Sunday
196,2011-01-09 11:00:00,Winter,1,0.0,Clear,6.56,40.0,35.0008,2,47,49,2011,1,Sunday
197,2011-01-09 12:00:00,Winter,1,0.0,Clear,7.38,37.0,30.0026,4,79,83,2011,1,Sunday
198,2011-01-09 13:00:00,Winter,1,0.0,Clear,8.2,34.0,30.0026,6,69,75,2011,1,Sunday
201,2011-01-09 16:00:00,Winter,1,0.0,Clear,8.2,34.0,30.0026,13,79,92,2011,1,Sunday
205,2011-01-09 20:00:00,Winter,1,0.0,Clear,5.74,46.0,16.9979,0,38,38,2011,1,Sunday
210,2011-01-10 01:00:00,Winter,0,1.0,Clear,4.92,50.0,19.0012,1,0,1,2011,1,Monday
211,2011-01-10 02:00:00,Winter,0,1.0,Clear,4.92,50.0,15.0013,0,3,3,2011,1,Monday
214,2011-01-10 05:00:00,Winter,0,1.0,Clear,4.1,54.0,16.9979,0,3,3,2011,1,Monday
219,2011-01-10 10:00:00,Winter,0,1.0,Mist,5.74,50.0,19.9995,0,31,31,2011,1,Monday
227,2011-01-10 18:00:00,Winter,0,1.0,Clear,8.2,40.0,15.0013,1,154,155,2011,1,Monday
228,2011-01-10 19:00:00,Winter,0,1.0,Clear,6.56,47.0,11.0014,3,92,95,2011,1,Monday
229,2011-01-10 20:00:00,Winter,0,1.0,Clear,6.56,50.0,11.0014,1,73,74,2011,1,Monday
230,2011-01-10 21:00:00,Winter,0,1.0,Clear,5.74,59.0,12.998,1,37,38,2011,1,Monday
240,2011-01-11 09:00:00,Winter,0,1.0,Mist,7.38,51.0,11.0014,3,127,130,2011,1,Tuesday
253,2011-01-11 22:00:00,Winter,0,1.0,Rainy,6.56,93.0,7.0015,1,28,29,2011,1,Tuesday
269,2011-01-12 16:00:00,Winter,0,1.0,Clear,9.02,44.0,22.0028,5,63,68,2011,1,Wednesday
271,2011-01-12 18:00:00,Winter,0,1.0,Clear,8.2,47.0,35.0008,2,135,137,2011,1,Wednesday
275,2011-01-12 22:00:00,Winter,0,1.0,Clear,6.56,55.0,30.0026,1,32,33,2011,1,Wednesday
276,2011-01-12 23:00:00,Winter,0,1.0,Clear,5.74,59.0,27.9993,1,19,20,2011,1,Wednesday
280,2011-01-13 03:00:00,Winter,0,1.0,Clear,5.74,50.0,22.0028,0,3,3,2011,1,Thursday
281,2011-01-13 04:00:00,Winter,0,1.0,Clear,5.74,50.0,16.9979,0,4,4,2011,1,Thursday
282,2011-01-13 05:00:00,Winter,0,1.0,Clear,5.74,50.0,19.9995,0,3,3,2011,1,Thursday
283,2011-01-13 06:00:00,Winter,0,1.0,Clear,4.92,54.0,8.9981,0,28,28,2011,1,Thursday
284,2011-01-13 07:00:00,Winter,0,1.0,Clear,4.92,54.0,8.9981,0,72,72,2011,1,Thursday
288,2011-01-13 11:00:00,Winter,0,1.0,Mist,8.2,44.0,30.0026,4,33,37,2011,1,Thursday
291,2011-01-13 14:00:00,Winter,0,1.0,Clear,9.02,41.0,26.0027,3,39,42,2011,1,Thursday
292,2011-01-13 15:00:00,Winter,0,1.0,Clear,9.84,38.0,19.9995,5,55,60,2011,1,Thursday
294,2011-01-13 17:00:00,Winter,0,1.0,Clear,8.2,40.0,19.0012,4,158,162,2011,1,Thursday
295,2011-01-13 18:00:00,Winter,0,1.0,Clear,8.2,40.0,22.0028,3,141,144,2011,1,Thursday
309,2011-01-14 09:00:00,Winter,0,1.0,Clear,5.74,69.0,8.9981,0,117,117,2011,1,Friday
319,2011-01-14 19:00:00,Winter,0,1.0,Clear,6.56,59.0,6.0032,3,89,92,2011,1,Friday
324,2011-01-15 00:00:00,Winter,1,0.0,Clear,7.38,55.0,0.0,3,25,28,2011,1,Saturday
325,2011-01-15 01:00:00,Winter,1,0.0,Mist,6.56,59.0,6.0032,2,18,20,2011,1,Saturday
339,2011-01-15 15:00:00,Winter,1,0.0,Mist,13.12,36.0,12.998,21,108,129,2011,1,Saturday
342,2011-01-15 18:00:00,Winter,1,1.0,Mist,12.3,45.0,16.9979,15,69,84,2011,1,Saturday
346,2011-01-15 22:00:00,Winter,1,0.0,Mist,12.3,42.0,7.0015,0,26,26,2011,1,Saturday
353,2011-01-16 05:00:00,Winter,1,0.0,Mist,10.66,56.0,11.0014,1,1,2,2011,1,Sunday
354,2011-01-16 06:00:00,Winter,1,0.0,Mist,10.66,56.0,11.0014,0,1,1,2011,1,Sunday
355,2011-01-16 07:00:00,Winter,1,0.0,Mist,9.84,56.0,19.9995,0,3,3,2011,1,Sunday
360,2011-01-16 12:00:00,Winter,1,1.0,Clear,9.84,41.0,19.0012,29,75,104,2011,1,Sunday
367,2011-01-16 19:00:00,Winter,1,0.0,Clear,7.38,47.0,8.9981,14,47,61,2011,1,Sunday
373,2011-01-17 01:00:00,Winter,0,0.0,Mist,8.2,44.0,12.998,1,15,16,2011,1,Monday
374,2011-01-17 02:00:00,Winter,0,0.0,Mist,7.38,43.0,16.9979,0,8,8,2011,1,Monday
375,2011-01-17 03:00:00,Winter,0,0.0,Mist,7.38,43.0,12.998,0,2,2,2011,1,Monday
383,2011-01-17 11:00:00,Winter,0,0.0,Mist,6.56,55.0,12.998,9,55,64,2011,1,Monday
394,2011-01-17 22:00:00,Winter,0,0.0,Rainy,5.74,93.0,16.9979,0,13,13,2011,1,Monday
399,2011-01-18 15:00:00,Winter,0,1.0,Mist,9.02,87.0,11.0014,3,32,35,2011,1,Tuesday
406,2011-01-18 22:00:00,Winter,0,1.0,Mist,9.02,93.0,6.0032,0,33,33,2011,1,Tuesday
407,2011-01-18 23:00:00,Winter,0,1.0,Mist,9.02,93.0,0.0,1,19,20,2011,1,Tuesday
410,2011-01-19 02:00:00,Winter,0,1.0,Rainy,9.02,93.0,8.9981,0,3,3,2011,1,Wednesday
414,2011-01-19 07:00:00,Winter,0,1.0,Mist,9.84,92.0,7.0015,1,89,90,2011,1,Wednesday
418,2011-01-19 11:00:00,Winter,0,1.0,Mist,11.48,87.0,6.0032,5,47,52,2011,1,Wednesday
419,2011-01-19 12:00:00,Winter,0,1.0,Mist,12.3,81.0,6.0032,5,65,70,2011,1,Wednesday
421,2011-01-19 14:00:00,Winter,0,1.0,Clear,16.4,58.0,16.9979,7,68,75,2011,1,Wednesday
423,2011-01-19 16:00:00,Winter,0,1.0,Clear,15.58,58.0,26.0027,10,94,104,2011,1,Wednesday
424,2011-01-19 17:00:00,Winter,0,1.0,Clear,14.76,57.0,22.0028,7,190,197,2011,1,Wednesday
426,2011-01-19 19:00:00,Winter,0,1.0,Clear,13.12,57.0,27.9993,4,108,112,2011,1,Wednesday
430,2011-01-19 23:00:00,Winter,0,1.0,Clear,12.3,52.0,31.0009,1,27,28,2011,1,Wednesday
433,2011-02-01 02:00:00,Winter,0,1.0,Mist,6.56,69.0,0.0,0,2,2,2011,2,Tuesday
434,2011-02-01 03:00:00,Winter,0,1.0,Mist,6.56,69.0,0.0,0,2,2,2011,2,Tuesday
437,2011-02-01 07:00:00,Winter,0,1.0,Rainy,6.56,93.0,0.0,0,52,52,2011,2,Tuesday
445,2011-02-01 15:00:00,Winter,0,1.0,Mist,9.84,75.0,0.0,7,45,52,2011,2,Tuesday
448,2011-02-01 18:00:00,Winter,0,1.0,Mist,9.84,81.0,7.0015,3,165,168,2011,2,Tuesday
451,2011-02-01 21:00:00,Winter,0,1.0,Mist,9.02,87.0,8.9981,0,64,64,2011,2,Tuesday
455,2011-02-02 01:00:00,Winter,0,1.0,Rainy,9.02,93.0,12.998,0,3,3,2011,2,Wednesday
465,2011-02-02 11:00:00,Winter,0,1.0,Mist,9.84,93.0,12.998,5,47,52,2011,2,Wednesday
467,2011-02-02 13:00:00,Winter,0,1.0,Clear,13.94,93.0,11.0014,1,74,75,2011,2,Wednesday
470,2011-02-02 16:00:00,Winter,0,1.0,Clear,14.76,71.0,19.9995,8,95,103,2011,2,Wednesday
475,2011-02-02 21:00:00,Winter,0,1.0,Clear,9.02,47.0,22.0028,1,62,63,2011,2,Wednesday
481,2011-02-03 03:00:00,Winter,0,1.0,Clear,7.38,43.0,16.9979,0,1,1,2011,2,Thursday
482,2011-02-03 05:00:00,Winter,0,1.0,Clear,6.56,50.0,19.9995,0,2,2,2011,2,Thursday
487,2011-02-03 10:00:00,Winter,0,1.0,Clear,7.38,43.0,22.0028,2,50,52,2011,2,Thursday
489,2011-02-03 12:00:00,Winter,0,1.0,Clear,8.2,40.0,23.9994,2,67,69,2011,2,Thursday
497,2011-02-03 20:00:00,Winter,0,1.0,Clear,8.2,47.0,6.0032,1,108,109,2011,2,Thursday
500,2011-02-03 23:00:00,Winter,0,1.0,Clear,8.2,47.0,7.0015,4,34,38,2011,2,Thursday
501,2011-02-04 00:00:00,Winter,0,1.0,Mist,8.2,44.0,0.0,3,10,13,2011,2,Friday
504,2011-02-04 03:00:00,Winter,0,1.0,Mist,5.74,63.0,7.0015,0,1,1,2011,2,Friday
508,2011-02-04 08:00:00,Winter,0,1.0,Clear,5.74,74.0,8.9981,3,217,220,2011,2,Friday
513,2011-02-04 13:00:00,Winter,0,1.0,Mist,10.66,50.0,15.0013,9,73,82,2011,2,Friday
518,2011-02-04 18:00:00,Winter,0,1.0,Mist,9.84,60.0,7.0015,3,152,155,2011,2,Friday
519,2011-02-04 19:00:00,Winter,0,1.0,Mist,9.84,65.0,8.9981,1,102,103,2011,2,Friday
520,2011-02-04 20:00:00,Winter,0,1.0,Mist,9.84,65.0,11.0014,2,69,71,2011,2,Friday
522,2011-02-04 22:00:00,Winter,0,1.0,Mist,9.84,65.0,11.0014,1,45,46,2011,2,Friday
527,2011-02-05 03:00:00,Winter,1,0.0,Mist,9.84,75.0,11.0014,1,10,11,2011,2,Saturday
530,2011-02-05 06:00:00,Winter,1,0.0,Rainy,8.2,100.0,0.0,0,4,4,2011,2,Saturday
535,2011-02-05 11:00:00,Winter,1,0.0,Rainy,9.02,100.0,8.9981,1,46,47,2011,2,Saturday
539,2011-02-05 15:00:00,Winter,1,0.0,Rainy,9.02,100.0,0.0,11,49,60,2011,2,Saturday
541,2011-02-05 17:00:00,Winter,1,0.0,Mist,9.84,100.0,19.0012,14,64,78,2011,2,Saturday
551,2011-02-06 03:00:00,Winter,1,0.0,Clear,10.66,60.0,6.0032,3,10,13,2011,2,Sunday
553,2011-02-06 05:00:00,Winter,1,0.0,Clear,10.66,60.0,15.0013,0,1,1,2011,2,Sunday
562,2011-02-06 14:00:00,Winter,1,0.0,Clear,13.94,46.0,6.0032,47,114,161,2011,2,Sunday
563,2011-02-06 15:00:00,Winter,1,0.0,Clear,13.94,46.0,6.0032,52,130,182,2011,2,Sunday
564,2011-02-06 16:00:00,Winter,1,1.0,Clear,13.94,49.0,7.0015,42,115,157,2011,2,Sunday
573,2011-02-07 01:00:00,Winter,0,1.0,Clear,9.02,75.0,0.0,1,4,5,2011,2,Monday
575,2011-02-07 03:00:00,Winter,0,1.0,Clear,8.2,86.0,0.0,0,1,1,2011,2,Monday
578,2011-02-07 06:00:00,Winter,0,1.0,Clear,7.38,93.0,0.0,1,29,30,2011,2,Monday
579,2011-02-07 07:00:00,Winter,0,1.0,Clear,7.38,86.0,0.0,6,89,95,2011,2,Monday
591,2011-02-07 19:00:00,Winter,0,1.0,Mist,13.12,70.0,0.0,5,123,128,2011,2,Monday
592,2011-02-07 20:00:00,Winter,0,1.0,Mist,13.12,70.0,7.0015,6,82,88,2011,2,Monday
595,2011-02-07 23:00:00,Winter,0,1.0,Mist,12.3,81.0,0.0,6,19,25,2011,2,Monday
596,2011-02-08 00:00:00,Winter,0,1.0,Mist,11.48,87.0,0.0,4,6,10,2011,2,Tuesday
598,2011-02-08 02:00:00,Winter,0,1.0,Mist,10.66,93.0,7.0015,1,1,2,2011,2,Tuesday
599,2011-02-08 03:00:00,Winter,0,1.0,Rainy,11.48,93.0,11.0014,0,1,1,2011,2,Tuesday
600,2011-02-08 04:00:00,Winter,0,1.0,Clear,10.66,93.0,11.0014,0,3,3,2011,2,Tuesday
606,2011-02-08 10:00:00,Winter,0,1.0,Clear,9.02,47.0,36.9974,4,44,48,2011,2,Tuesday
608,2011-02-08 12:00:00,Winter,0,1.0,Clear,9.84,38.0,32.9975,2,63,65,2011,2,Tuesday
609,2011-02-08 13:00:00,Winter,0,1.0,Mist,9.84,32.0,30.0026,2,48,50,2011,2,Tuesday
615,2011-02-08 19:00:00,Winter,0,1.0,Clear,6.56,40.0,31.0009,1,100,101,2011,2,Tuesday
616,2011-02-08 20:00:00,Winter,0,1.0,Clear,6.56,40.0,22.0028,3,53,56,2011,2,Tuesday
617,2011-02-08 21:00:00,Winter,0,1.0,Clear,5.74,33.0,31.0009,8,46,54,2011,2,Tuesday
627,2011-02-09 08:00:00,Winter,0,1.0,Clear,4.1,42.0,0.0,1,198,199,2011,2,Wednesday
631,2011-02-09 12:00:00,Winter,0,1.0,Mist,7.38,40.0,15.0013,4,57,61,2011,2,Wednesday
634,2011-02-09 15:00:00,Winter,0,1.0,Mist,8.2,34.0,19.0012,3,61,64,2011,2,Wednesday
644,2011-02-10 01:00:00,Winter,0,1.0,Rainy,5.74,80.0,8.9981,0,7,7,2011,2,Thursday
646,2011-02-10 04:00:00,Winter,0,1.0,Mist,5.74,59.0,15.0013,0,1,1,2011,2,Thursday
651,2011-02-10 09:00:00,Winter,0,1.0,Clear,4.92,42.0,23.9994,1,121,122,2011,2,Thursday
652,2011-02-10 10:00:00,Winter,0,1.0,Clear,4.92,42.0,19.9995,1,34,35,2011,2,Thursday
654,2011-02-10 12:00:00,Winter,0,1.0,Clear,6.56,34.0,26.0027,4,65,69,2011,2,Thursday
659,2011-02-10 17:00:00,Winter,0,1.0,Clear,7.38,26.0,12.998,6,159,165,2011,2,Thursday
661,2011-02-10 19:00:00,Winter,0,1.0,Clear,5.74,28.0,7.0015,2,110,112,2011,2,Thursday
665,2011-02-10 23:00:00,Winter,0,1.0,Clear,4.92,42.0,7.0015,1,33,34,2011,2,Thursday
668,2011-02-11 02:00:00,Winter,0,1.0,Clear,4.1,54.0,6.0032,0,3,3,2011,2,Friday
670,2011-02-11 06:00:00,Winter,0,1.0,Clear,4.1,68.0,0.0,1,23,24,2011,2,Friday
672,2011-02-11 08:00:00,Winter,0,1.0,Clear,4.1,74.0,11.0014,4,212,216,2011,2,Friday
674,2011-02-11 10:00:00,Winter,0,1.0,Clear,5.74,69.0,12.998,5,39,44,2011,2,Friday
676,2011-02-11 12:00:00,Winter,0,1.0,Clear,9.02,47.0,8.9981,7,64,71,2011,2,Friday
684,2011-02-11 20:00:00,Winter,0,1.0,Clear,9.02,55.0,8.9981,2,61,63,2011,2,Friday
687,2011-02-11 23:00:00,Winter,0,1.0,Clear,7.38,69.0,0.0,5,48,53,2011,2,Friday
689,2011-02-12 01:00:00,Winter,1,0.0,Clear,5.74,86.0,0.0,2,22,24,2011,2,Saturday
694,2011-02-12 06:00:00,Winter,1,0.0,Clear,4.92,93.0,12.998,1,1,2,2011,2,Saturday
698,2011-02-12 10:00:00,Winter,1,0.0,Clear,9.02,41.0,16.9979,13,71,84,2011,2,Saturday
705,2011-02-12 17:00:00,Winter,1,0.0,Clear,13.12,31.0,35.0008,24,113,137,2011,2,Saturday
707,2011-02-12 19:00:00,Winter,1,0.0,Clear,11.48,38.0,11.0014,2,39,41,2011,2,Saturday
710,2011-02-12 22:00:00,Winter,1,0.0,Clear,9.84,44.0,6.0032,6,39,45,2011,2,Saturday
713,2011-02-13 01:00:00,Winter,1,0.0,Clear,8.2,59.0,6.0032,1,23,24,2011,2,Sunday
722,2011-02-13 11:00:00,Winter,1,0.0,Clear,13.12,39.0,30.0026,26,86,112,2011,2,Sunday
731,2011-02-13 20:00:00,Winter,1,0.0,Clear,16.4,35.0,22.0028,15,32,47,2011,2,Sunday
732,2011-02-13 21:00:00,Winter,1,0.0,Clear,16.4,35.0,23.9994,6,45,51,2011,2,Sunday
733,2011-02-13 22:00:00,Winter,1,1.0,Clear,16.4,35.0,19.9995,5,31,36,2011,2,Sunday
740,2011-02-14 05:00:00,Winter,0,1.0,Clear,13.12,53.0,19.0012,0,3,3,2011,2,Monday
742,2011-02-14 07:00:00,Winter,0,1.0,Clear,13.94,46.0,19.9995,2,96,98,2011,2,Monday
743,2011-02-14 08:00:00,Winter,0,1.0,Clear,15.58,40.0,31.0009,7,249,256,2011,2,Monday
744,2011-02-14 09:00:00,Winter,0,1.0,Clear,16.4,37.0,26.0027,8,122,130,2011,2,Monday
745,2011-02-14 10:00:00,Winter,0,1.0,Clear,18.04,33.0,15.0013,9,46,55,2011,2,Monday
746,2011-02-14 11:00:00,Winter,0,1.0,Clear,21.32,23.0,16.9979,10,43,53,2011,2,Monday
747,2011-02-14 12:00:00,Winter,0,1.0,Clear,22.96,22.0,30.0026,27,99,126,2011,2,Monday
748,2011-02-14 13:00:00,Winter,0,1.0,Clear,23.78,19.0,26.0027,27,93,120,2011,2,Monday
749,2011-02-14 14:00:00,Winter,0,1.0,Clear,24.6,15.0,32.9975,14,76,90,2011,2,Monday
754,2011-02-14 19:00:00,Winter,0,1.0,Clear,15.58,43.0,32.9975,12,86,98,2011,2,Monday
755,2011-02-14 20:00:00,Winter,0,1.0,Clear,14.76,46.0,31.0009,5,65,70,2011,2,Monday
760,2011-02-15 01:00:00,Winter,0,1.0,Clear,12.3,42.0,51.9987,0,5,5,2011,2,Tuesday
761,2011-02-15 02:00:00,Winter,0,1.0,Clear,11.48,41.0,46.0022,1,2,3,2011,2,Tuesday
764,2011-02-15 06:00:00,Winter,0,1.0,Clear,8.2,32.0,22.0028,0,30,30,2011,2,Tuesday
768,2011-02-15 10:00:00,Winter,0,1.0,Clear,9.84,27.0,19.0012,5,47,52,2011,2,Tuesday
770,2011-02-15 12:00:00,Winter,0,1.0,Clear,11.48,24.0,16.9979,6,65,71,2011,2,Tuesday
776,2011-02-15 18:00:00,Winter,0,1.0,Clear,12.3,22.0,8.9981,14,198,212,2011,2,Tuesday
778,2011-02-15 20:00:00,Winter,0,1.0,Clear,10.66,33.0,7.0015,3,98,101,2011,2,Tuesday
779,2011-02-15 21:00:00,Winter,0,1.0,Clear,9.84,52.0,0.0,5,61,66,2011,2,Tuesday
784,2011-02-16 03:00:00,Winter,0,1.0,Mist,8.2,47.0,12.998,0,1,1,2011,2,Wednesday
787,2011-02-16 06:00:00,Winter,0,1.0,Clear,8.2,55.0,15.0013,1,32,33,2011,2,Wednesday
790,2011-02-16 09:00:00,Winter,0,1.0,Clear,9.84,52.0,19.0012,2,122,124,2011,2,Wednesday
796,2011-02-16 15:00:00,Winter,0,1.0,Clear,18.86,28.0,27.9993,35,82,117,2011,2,Wednesday
797,2011-02-16 16:00:00,Winter,0,1.0,Clear,18.86,31.0,26.0027,26,96,122,2011,2,Wednesday
798,2011-02-16 17:00:00,Winter,0,1.0,Clear,18.86,28.0,19.0012,11,244,255,2011,2,Wednesday
801,2011-02-16 20:00:00,Winter,0,1.0,Clear,15.58,43.0,12.998,10,108,118,2011,2,Wednesday
802,2011-02-16 21:00:00,Winter,0,1.0,Clear,14.76,46.0,12.998,5,87,92,2011,2,Wednesday
806,2011-02-17 01:00:00,Winter,0,1.0,Clear,13.94,53.0,15.0013,0,6,6,2011,2,Thursday
808,2011-02-17 03:00:00,Winter,0,1.0,Clear,13.94,53.0,12.998,3,1,4,2011,2,Thursday
811,2011-02-17 06:00:00,Winter,0,1.0,Clear,12.3,70.0,8.9981,3,44,47,2011,2,Thursday
812,2011-02-17 07:00:00,Winter,0,1.0,Clear,13.12,57.0,7.0015,7,119,126,2011,2,Thursday
824,2011-02-17 19:00:00,Winter,0,1.0,Clear,19.68,55.0,22.0028,14,161,175,2011,2,Thursday
825,2011-02-17 20:00:00,Winter,0,1.0,Clear,19.68,59.0,22.0028,8,131,139,2011,2,Thursday
830,2011-02-18 01:00:00,Winter,0,1.0,Clear,18.04,72.0,15.0013,1,7,8,2011,2,Friday
831,2011-02-18 02:00:00,Winter,0,1.0,Clear,18.04,72.0,19.0012,2,5,7,2011,2,Friday
838,2011-02-18 09:00:00,Winter,0,1.0,Mist,17.22,77.0,12.998,15,154,169,2011,2,Friday
840,2011-02-18 11:00:00,Winter,0,1.0,Clear,18.04,72.0,11.0014,31,82,113,2011,2,Friday
